Source;Target;cri_comp;anb_name;anb_nuts;ca_bids;ca_cpv;ca_criteria_count;ca_eufund;ca_nuts;ca_scntr_sc;ca_title;cft_duration;w_name;w_nuts;country;ca_date;ca_year;ca_contract_value;nocft;ca_procedure;ca_criterion;anb_type;anb_empl_cat
CZ46709002;CZ48292516;0,75;VÚTS, a.s.;CZ0513;1;45000000-7;1;1;CZ051;0;Centrum rozvoje strojírenského výzkumu Liberec - zhotovení stavební části - dodatečné práce III;;SYNER, s.r.o.;CZ0513;czechr;13-Feb-12;2012;669963,15;0;negotiation;lowest price;other/private ;50<x<=100
CZ60108118;CZ46342796;0,75;Vodárenská společnost Česká Třebová, s.r.o.;CZ0534;1;45232150-8;1;1;CZ053;0;Česká Třebová - kanalizace a ČOV, dodatečné stavební práce, dodatek č. 3;;OHL ŽS, a.s.;CZ0642;czechr;31-Dec-12;2012;170488,48;0;negotiation;lowest price;supported body/soe ;<=10
CZ46709002;CZ48292516;0,75;VÚTS, a.s.;CZ0513;1;45000000-7;1;1;CZ051;0;Centrum rozvoje strojírenského výzkumu Liberec - zhotovení stavební části - dodatečné práce IV;;SYNER, s.r.o.;CZ0513;czechr;10-Feb-12;2012;764100,91;0;negotiation;lowest price;other/private ;50<x<=100
CZ00290785;CZ46976469;0,75;OBEC BÁNOV;CZ0722;1;45000000-7;1;0;CZ072;;Kanalizace a ČOV Bánov;;VHS plus, Vodohospodářské stavby, s.r.o.;CZ0645;czechr;4-Dec-12;2012;75366,885;0;negotiation;lowest price;regional/local ;<=10
CZ00566756;CZ26961474;0,75;Střední škola umění a designu, stylu a módy a Vy�;CZ0642;1;45214200-2;1;0;CZ064;0;Vícepráce_2 - Stavební úpravy stávajících dílen v objektu Francouzská 101, Brno;;SKR stav, s.r.o.;CZ0642;czechr;10-Dec-12;2012;4874,5697;0;negotiation;lowest price;supported body/soe ;50<x<=100
CZ00259349;CZ40523284;0,74646;Město Chodov;CZ0413;1;45212225-9;1;1;CZ041;0;Sportovní hala Chodov;;TIMA, spol. s r.o. - obchodně výrobní služby;CZ0412;czechr;5-Apr-12;2012;26911,296;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00259349;CZ40523284;0,74643;Město Chodov;CZ0413;1;45212225-9;2;1;CZ041;0;Sportovní hala Chodov;;TIMA, spol. s r.o. - obchodně výrobní služby;CZ0412;czechr;20-Mar-12;2012;10262,824;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00304450;CZ48399477;0,74611;Město Vsetín;CZ0723;1;45214100-1;0;1;CZ072;;Dodatečné stavební práce k VZ Stavební úpravy budovy Mateřské školy Vsetín, Kobzáňová 1537 – dodatek č. 5;;TM  Stav, spol. s r.o.;CZ0723;czechr;7-Jun-12;2012;20254,136;0;negotiation;missing;regional/local ;100<x<=500
CZ00265942;CZ49973215;0,74543;MĚSTO HORNÍ JIŘETÍN;CZ0425;1;45232400-6;2;1;CZ042;0;II.etapa kanalizace a ČOV města Horní Jířetín - místní část Černice;;CGM Czech a.s.;CZ0209;czechr;2-Apr-12;2012;1203833,9;0;negotiation;lowest price;regional/local ;<=10
CZ00260231;CZ46342796;0,74417;Město Tachov;CZ0327;1;45242100-6;1;1;CZ032;0;Rozšíření bazénu Tachov - etapa venkovní část - dodatečné stavební práce II.;;OHL ŽS, a.s.;CZ0642;czechr;25-Apr-12;2012;47943,358;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00260231;CZ46342796;0,74408;Město Tachov;CZ0327;1;45242100-6;1;1;CZ032;0;Rozšíření bazénu Tachov - etapa venkovní část - dodatečné stavební práce I.;;OHL ŽS, a.s.;CZ0642;czechr;25-Apr-12;2012;20588,672;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00266299;CZ40233308;0,74347;MĚSTO DUCHCOV;CZ0426;1;45212200-8;4;1;CZ042;0;"Vícepráce (stavební práce) vzniklé na akci Revitalizace víceúčelového sportovního areálu v Duchcově-I.fáze""""";;Vodohospodářské stavby, společnost s ručením omezený;CZ0426;czechr;27-Mar-12;2012;76022,069;0;negotiation;lowest price;regional/local ;50<x<=100
CZ45245819;CZ26073005;0,74308;POHŘEBNÍ ÚSTAV HL.M.PRAHY;CZ0100;1;45454100-5;2;0;CZ;0;Rekonstrukce správní budovy krematoria Motol – dodatečné stavební práce;;PARABASTAV s.r.o.;CZ0311;czechr;25-Sep-12;2012;36374,393;0;negotiation;lowest price;supported body/soe ;25<x<=50
CZ00243132;CZ60838744;0,74262;Město Příbram;CZ020B;1;45211360-0;0;0;CZ020;0;Rekonstrukce a revitalizace náměstí T.G. Masaryka v Příbrami – dodatečné stavební práce;;STRABAG  a.s.;CZ0100;czechr;17-Feb-12;2012;86738,167;0;negotiation;missing;regional/local ;100<x<=500
CZ48172898;CZ19010591;0,74185;Vodovody a kanalizace Hradec Králové, a. s.;CZ0521;1;45232430-5;1;0;CZ052;0;Úpravna vody Hradec Králové - modernizace a rekonstrukce - dodatečné stavební práce;;KUNST,  spol.  s  r.o.;CZ0714;czechr;24-Dec-12;2012;340124,58;0;negotiation;lowest price;supported body/soe ;10<x<=25
CZ00241687;CZ25607618;0,74183;MĚSTSKÁ ČÁST PRAHA 13;CZ0100;1;45215100-8;0;1;CZ010;;Zateplení polikliniky Hostinského, Praha 13 - dodatečné stavební práce;;BAU plus, a.s.;CZ0100;czechr;17-Oct-12;2012;50760,887;0;negotiation;missing;regional/local ;100<x<=500
CZ00023337;CZ00014915;0,73985;NÁRODNÍ DIVADLO;CZ0100;1;45221240-6;1;0;CZ010;0;Rekonstrukce technologických tunelů Národního divadla - dodatečné stavební práce;;Metrostav a.s.;CZ0100;czechr;2-Mar-12;2012;218096,92;0;negotiation;lowest price;supported body/soe ;500<x
CZ00092584;CZ47911182;0,73959;Nemocnice Znojmo, příspěvková organizace;CZ0647;1;45215100-8;1;0;CZ064;0;Rekonstrukce a dostavba Nemocnice Znojmo - stavební úpravy pro oční zákrokový sál - dodatečné stavební práce;;INTER - STAV, spol. s r.o.;CZ0642;czechr;26-Sep-12;2012;21229,974;0;negotiation;lowest price;supported body/soe ;500<x
CZ48154938;CZ25253361;0,73947;EAST BOHEMIAN AIRPORT a.s.;CZ0532;1;45000000-7;1;1;CZ053;0;"Stavební práce VI. - Technické zázemí civilní části letiště Pardubice a rozšíření pohybových ploch""""";;Chládek a Tintěra, Pardubice a.s.;CZ0532;czechr;7-Jun-12;2012;56703,502;0;negotiation;lowest price;supported body/soe ;10<x<=25
CZ00284459;CZ26229455;0,73801;MĚSTO SLAVIČÍN;CZ0724;1;45000000-7;1;0;CZ072;0;Nevšová – odkanalizování a čištění odpadních vod - dodatečné stavební práce;;Vodohospodářské stavby Javorník-CZ s.r.o.;CZ0645;czechr;2-Nov-12;2012;30395,998;0;negotiation;lowest price;regional/local ;10<x<=25
CZ70891168;CZ28420403;0,73665;Karlovarský kraj;CZ0412;1;45213311-6;0;1;CZ041;;Dopravní terminál Cheb - Změnové listy ZL č. 1 - 11;;ALGON, a.s.;CZ020A;czechr;1-Oct-12;2012;78133,009;0;negotiation;missing;regional/local ;100<x<=500
CZ00301311;CZ60838744;0,73613;Město Hranice;CZ0714;1;45000000-7;0;0;CZ071;;Rekonstrukce komunikace Studentská - Hviezdoslavova v Hranicích;;STRABAG  a.s.;CZ0100;czechr;10-Jan-12;2012;12898,468;0;negotiation;missing;regional/local ;50<x<=100
CZ46956484;CZ46342796;0,73429;Římskokatolická farnost Velehrad;CZ0722;1;45000000-7;1;1;CZ072;;Rekonstrukce ploch nádvoří;;OHL ŽS, a.s.;CZ0642;czechr;23-Jan-12;2012;43390,533;0;negotiation;lowest price;other/private ;<=10
CZ00259349;CZ40523284;0,73328;Město Chodov;CZ0413;1;45212225-9;1;1;CZ041;0;Sportovní hala Chodov;;TIMA, spol. s r.o. - obchodně výrobní služby;CZ0412;czechr;16-Feb-12;2012;7634,7912;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00259349;CZ40523284;0,73323;Město Chodov;CZ0413;1;45212225-9;1;1;CZ041;0;Sportovní hala Chodov;;TIMA, spol. s r.o. - obchodně výrobní služby;CZ0412;czechr;23-Jan-12;2012;21455,464;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00259349;CZ40523284;0,73312;Město Chodov;CZ0413;1;45212225-9;1;1;CZ041;0;Sportovní hala Chodov;;TIMA, spol. s r.o. - obchodně výrobní služby;CZ0412;czechr;12-Jan-12;2012;21262,549;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00266027;CZ64653137;0,73268;MĚSTO LITVÍNOV;CZ0425;1;45214100-1;1;0;CZ042;0;Rekonstrukce MŠ, ulice Bezručova 1712, Litvínov;;ELA LITVÍNOV, spol. s r.o.;CZ0425;czechr;31-Oct-12;2012;1922,5633;0;open;lowest price;regional/local ;100<x<=500
CZ67179843;CZ46342796;0,73251;Centrum výzkumu globální změny AV ČR, v. v. i.;CZ0642;1;45214610-9;0;1;CZ064;1;Přístavba laboratoří a počítačového centra v rámci operačního programu VaVpI (dodatečné stavební práce);;OHL ŽS, a.s.;CZ0642;czechr;17-Dec-12;2012;2493917,2;0;negotiation;missing;established by public law;100<x<=500
CZ00236021;CZ41432037;0,73221;Město Čáslav;CZ0205;1;45000000-7;1;0;;0;Rekonstrukce a dostavba Dusíkova divadla I. etapa - dodatečné práce;;Realitní a stavební společnost s.r.o.;CZ0100;czechr;2-Feb-12;2012;95921,471;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00265781;CZ61538213;0,73131;Město Žatec;CZ0424;1;45000000-7;1;1;CZ042;0;Chrám Chmele a Piva;;METALL QUATRO spol. s r.o.;CZ0425;czechr;5-Jan-12;2012;4152,3736;0;negotiation;lowest price;regional/local ;50<x<=100
CZ68378271;CZ46342796;0,73067;Fyzikální ústav AV ČR, v.v.i.;CZ0100;1;45214620-2;0;1;CZ;0;Výstavba objektu HiLASE a příprava území - výběr dodavatele stavby – vícepráce nepředvídatelného charakteru (hutnění násypu v místě stávajících sklepních prostor);;OHL ŽS, a.s.;CZ0642;czechr;26-Oct-12;2012;15806,466;0;negotiation;missing;established by public law;100<x<=500
CZ26229269;CZ49436589;0,72979;VIENNA POINT a.s.;CZ0642;1;45262690-4;2;1;;0;Vědeckotechnologický park - VIENNA POINT II - modernizace technologické haly - dodatečné práce číslo 3;;KALÁB-stavební firma, spol. s r.o.;CZ0642;czechr;25-Sep-12;2012;199455,71;0;negotiation;price plus quality;other/private ;<=10
CZ00240117;CZ00014915;0,72968;Město Čelákovice;CZ0209;1;45000000-7;1;1;CZ020;0;Revitalizace náměstí 5. května v Čelákovicích- Dodatek č.2;;Metrostav a.s.;CZ0100;czechr;31-Aug-12;2012;4179,6965;0;negotiation;lowest price;regional/local ;25<x<=50
CZ00240117;CZ00014915;0,72965;Město Čelákovice;CZ0209;1;45221110-6;1;0;CZ020;0;Cyklistická stezka přes Labe v Čelákovicích - změna technologického postupu stavby;;Metrostav a.s.;CZ0100;czechr;21-Nov-12;2012;250003,49;0;negotiation;lowest price;regional/local ;25<x<=50
CZ70890749;CZ25337220;0,72915;Kraj Vysočina;CZ0632;1;45000000-7;0;1;CZ063;;Pavilon urgentní a intenzivní péče - dodatečné stavební práce II;;PSJ, a.s.;CZ0632;czechr;14-Feb-12;2012;190512,51;0;negotiation;missing;regional/local ;100<x<=500
CZ46956484;CZ46342796;0,72887;Římskokatolická farnost Velehrad;CZ0722;1;45000000-7;0;1;CZ072;;Rekonstrukce ploch nádvoří;;OHL ŽS, a.s.;CZ0642;czechr;25-Sep-12;2012;344421,39;0;negotiation;missing;other/private ;<=10
CZ70890749;CZ60932171;0,72865;Kraj Vysočina;CZ0632;1;45000000-7;0;0;CZ063;1;SUPŠ Jihlava - Helenín, rekonstrukce objektu - dodatečné stavební práce II.;;Chládek a Tintěra Havlíčkův Brod, a.s.;CZ0631;czechr;29-Jun-12;2012;277182,64;0;negotiation;missing;regional/local ;100<x<=500
CZ00253669;CZ25606468;0,72846;Město Poběžovice;CZ0321;1;45214800-8;2;1;CZ032;0;Modernizace MŠ Poběžovice - Stavební práce - dodatečné stavební práce I.;;POHL cz, a.s.;CZ020A;czechr;8-Jun-12;2012;89461,919;0;negotiation;lowest price;regional/local ;10<x<=25
CZ00253669;CZ25606468;0,72755;Město Poběžovice;CZ0321;1;45214800-8;1;1;CZ032;0;Modernizace MŠ Poběžovice - Stavební práce - dodatečné stavební práce II.;;POHL cz, a.s.;CZ020A;czechr;8-Jun-12;2012;10356,877;0;negotiation;lowest price;regional/local ;10<x<=25
CZ70890749;CZ60932171;0,72746;Kraj Vysočina;CZ0632;1;45215100-8;0;0;CZ063;1;Nemocnice Havlíčkův Brod - emergency - dodatečné stavební práce;;Chládek a Tintěra Havlíčkův Brod, a.s.;CZ0631;czechr;26-Jun-12;2012;27402,973;0;negotiation;missing;regional/local ;100<x<=500
CZ00278653;CZ15034682;0,72541;Město Česká Třebová;CZ0534;1;45000000-7;2;1;CZ053;0;Změna č. 8 v rámci stavby Rekonstrukce a přístavba Městského muzea Česká Třebová;;První litomyšlská stavební a.s.;CZ0533;czechr;27-Jun-12;2012;39028,786;0;negotiation;lowest price;regional/local ;50<x<=100
CZ46956484;CZ46342796;0,72439;Římskokatolická farnost Velehrad;CZ0722;1;45000000-7;0;1;CZ072;;Rekonstrukce ploch nádvoří;;OHL ŽS, a.s.;CZ0642;czechr;3-Aug-12;2012;32134,454;0;negotiation;missing;other/private ;<=10
CZ00253979;CZ45358800;0,72378;Město Cheb;CZ0411;1;45112360-6;0;0;CZ041;0;Oprava dešťové kanalizace a sanace pláně - ulice Mánesova, Cheb - I. etapa;;STAMOZA, společnost s ručením omezeným;CZ0411;czechr;20-Jul-12;2012;84069,603;0;negotiation;missing;regional/local ;100<x<=500
CZ44555601;CZ00531766;0,72257;Univerzita Jana Evangelisty Purkyně v Ústí nad Labem;CZ0427;1;45214800-8;1;0;CZ042;0;Dodatečné stavební práce Multifunkční informační a vzdělávací centrum UJEP - 2011/0057;;UNISTAV a.s.;CZ0642;czechr;15-Feb-12;2012;52032,116;0;negotiation;lowest price;established by public law;500<x
CZ00260771;CZ26768607;0,72249;MĚSTO NOVÝ BOR;CZ0511;1;45000000-7;0;1;CZ051;0;Oživení česko-polské sklářské tradice pro rozvoj cestovního ruchu - spojovací budova;;CL-EVANS s.r.o.;CZ0511;czechr;5-Jan-12;2012;35685,488;0;negotiation;missing;regional/local ;50<x<=100
CZ00301311;CZ45193771;0,72198;Město Hranice;CZ0714;1;45454100-5;0;0;CZ071;;Domov seniorů v Hranicích;;TEPLOTECHNA Ostrava a.s.;CZ0806;czechr;18-Oct-12;2012;7286,8283;0;negotiation;missing;regional/local ;50<x<=100
CZ00301311;CZ45193771;0,72184;Město Hranice;CZ0714;1;45454100-5;0;0;CZ071;;Domov seniorů v Hranicích;;TEPLOTECHNA Ostrava a.s.;CZ0806;czechr;18-Oct-12;2012;5445,5354;0;negotiation;missing;regional/local ;50<x<=100
CZ00216275;CZ00486361;0,71874;Univerzita Pardubice;CZ0532;1;45000000-7;0;0;CZ053;1;Změna spodní stavby;;PRIMA spol. s r.o.;CZ0521;czechr;19-Dec-12;2012;119784,18;0;negotiation;missing;established by public law;500<x
CZ00303836;CZ46578463;0,71561;Obec Hutisko - Solanec;CZ0723;1;45000000-7;1;1;CZ072;0;Modernizace venkovního hřiště a přilehlého objektu pro multifunkční využití a volnočasové aktivity obyvatel;;Cobbler s.r.o.;CZ0723;czechr;2-Jan-12;2012;8892,4724;0;negotiation;lowest price;regional/local ;<=10
CZ00090450;CZ26177005;0,71492;Krajská správa a údržba silnic Vysočiny, příspě;CZ0632;1;45233142-6;0;0;CZ063;0;III/41011 Cidlina (most ev.č. 41011-1) - Lesonice, dodatečné stavební práce;;COLAS CZ, a.s.;CZ0100;czechr;19-Nov-12;2012;156419,95;0;negotiation;missing;supported body/soe ;100<x<=500
CZ00304450;CZ60838744;0,71449;Město Vsetín;CZ0723;1;45223300-9;0;1;CZ072;0;Stavební úpravy náměstí Svobody Vsetín, 2.etapa - dodatečné stavební práce, dodatek číslo 2;;STRABAG  a.s.;CZ0100;czechr;11-Jan-12;2012;5765,4345;0;negotiation;missing;regional/local ;100<x<=500
CZ70891095;CZ45146802;0,71432;Středočeský kraj;CZ0100;1;45233160-8;0;1;CZ020;;II/126 Propojení na dáolnici D1 se silnicí I/2 - III. etapa průtah Zbraslavice;;Energie - stavební a báňská a.s.;CZ0203;czechr;23-Nov-12;2012;156368,17;0;negotiation;missing;regional/local ;100<x<=500
CZ00254843;CZ26384795;0,71264;Město Ostrov;CZ0412;1;45454100-5;1;1;CZ041;0;Rekonstrukce zámku Ostrov - Dodatečné stavební práce;;JURICA a.s.;CZ0412;czechr;28-Nov-12;2012;134511,46;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00279633;CZ27546756;0,70774;Obec Těchonín;CZ0534;1;45000000-7;1;1;CZ053;0;Rekonstrukce zdroje tepla - využití OZE, realizace úspor energie u budovy Mateřské Školy v Těchoníně - dodatek č. 1;;KPV SYSTÉM s.r.o.;CZ0534;czechr;19-Nov-12;2012;55594,511;0;negotiation;lowest price;regional/local ;<=10
CZ70891168;CZ45274924;0,70749;Karlovarský kraj;CZ0412;1;45213311-6;0;1;CZ041;0;Dopravní terminál Mariánské Lázně - Změnové listy ZL č. 1 - 16;;EUROVIA CS, a.s.;CZ0100;czechr;31-Aug-12;2012;21965,766;0;negotiation;missing;regional/local ;100<x<=500
CZ00278653;CZ15034682;0,70692;Město Česká Třebová;CZ0534;1;45000000-7;1;1;CZ053;0;Změna č. 9 v rámci stavby Rekonstrukce a přístavba Městského muzea Česká Třebová;;První litomyšlská stavební a.s.;CZ0533;czechr;15-Aug-12;2012;37935,47;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00261238;CZ00671533;0,70644;STATUTÁRNÍ MĚSTO DĚČÍN;CZ0421;1;45214200-2;0;1;CZ042;0;Modernizace učeben ZŠ pro potřeby dalšího vzdělávání;;INSKY spol. s r.o.;CZ0427;czechr;4-Jan-12;2012;20285,853;0;negotiation;missing;regional/local ;100<x<=500
CZ00635162;CZ25836129;0,70576;Městská nemocnice Ostrava, příspěvková organizace;CZ0806;1;45454100-5;2;0;CZ080;;Dodatečné stavební práce – Rekonstrukce 1. a 2. NP budovy traumatologie – část A, Hemodialyzační stranice centrální sterilizace;;VOSTAV MORAVA a.s.;CZ0806;czechr;31-Oct-12;2012;255433,76;0;negotiation;price plus quality;supported body/soe ;500<x
CZ70890749;CZ60932171;0,70435;Kraj Vysočina;CZ0632;1;45214000-0;0;0;CZ063;1;SUPŠ Jihlava - Helenín, rekonstrukce objektu - dodatečné stavební práce I.;;Chládek a Tintěra Havlíčkův Brod, a.s.;CZ0631;czechr;23-Feb-12;2012;164735,63;0;negotiation;missing;regional/local ;100<x<=500
CZ26229269;CZ49436589;0,70367;VIENNA POINT a.s.;CZ0642;1;45262690-4;2;1;;0;Vědeckotechnologický park - VIENNA POINT II - modernizace technologické haly - dodatečné práce číslo 2;;KALÁB-stavební firma, spol. s r.o.;CZ0642;czechr;25-Sep-12;2012;102773,51;0;negotiation;price plus quality;other/private ;<=10
