Source;Target;cri_comp;icl.i;ich.i;icm.i;scl.s;sch.s;scm.s;anb_name;anb_nuts;ca_bids;ca_cpv;ca_criteria_count;ca_eufund;ca_nuts;ca_scntr_sc;ca_title;w_consortium;w_name;w_nuts;country;rowid;ca_date;ca_year;ca_contract_value;nocft;ca_procedure;ca_criterion;anb_type;anb_sector;anb_empl_cat
HU735847;HU10238433;0.0532795;6;0;0;6;0;0;Budapest XXI. Kerület Csepel Önkormányzata;HU101;7;45310000-3;1;1;HU101;0;útépítési beruházások II. ütem;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168294;18-Sep-09;2009;148641.65;1;open;lowest price;regional/local ;general public services;100<x<=500
HU735836;HU10238433;0.098077;6;0;0;6;0;0;Budapest F?város XX. Kerület Pesterzsébet Önkormán;HU101;5;45233120-6;1;0;HU101;0;Tájékoztató az eljárás eredményér?l Útépítések 2009. 11 utca 9 részben;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168291;3-Aug-09;2009;57505;1;open;lowest price;regional/local ;missing;100<x<=500
HU735836;HU10238433;0.1010221;6;0;0;6;0;0;Budapest F?város XX. Kerület Pesterzsébet Önkormán;HU101;5;45233120-6;1;0;HU101;0;Tájékoztató az eljárás eredményér?l Útépítések 2009. 11 utca 9 részben;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168290;3-Aug-09;2009;115810.74;1;open;lowest price;regional/local ;missing;100<x<=500
HU735858;HU10238433;0.0860813;66;0;0;6;0;0;Budafok-Tétény Budapest XXII. Kerületi Önkormányza;HU101;8;45233120-6;1;0;HU;1;XXII. kerületben szilárd burkolatú útépítések;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168298;6-Mar-09;2009;25.513.399;1;open;lowest price;regional/local ;missing;100<x<=500
HU735418;HU10247383;0.560501;0;1;0;0;0;1;Szécsény Városi Önkormányzat;HU313;1;45215200-9;4;1;HU313;0;Kistérségi Szociális Szolgáltató Központ és Gyermekjóléti Szolgálat kialakítása és akadálymentesítése;0;UNIVERZÁL KFT ÉPITÖ- ÉS SZOLGÁLTATOIPARI KFT;HU313;hungary;168509;17-Oct-09;2009;119093.67;1;missing/error;price plus quality;regional/local ;general public services;100<x<=500
HU730006;HU10245783;0.0910458;0;0;0;0;0;1;Epöl Község Önkormányzata;HU212;3;45200000-9;1;1;HU 21;0;orvosi rendel? létrehozása Epölön;0;KOMÁROM M ÉPITÖ, IPARI, KERESKEDELMI ÉS SZOLGÁLTATO KF;HU212;hungary;168497;4-Dec-09;2009;54899.04;1;open;lowest price;regional/local ;general public services;10<x<=25
HU727475;HU10250385;0.4446278;0;0;0;0;0;1;Polgárdi Város Önkormányzata;;10;45233120-6;3;1;HU211;1;iparterület kialakításához szükséges út- és közm?építések a volt szovjet laktanya területén;0;MAGYAR ASZFALT KFT;;hungary;168542;27-Apr-09;2009;502821.75;0;open;price plus quality;regional/local ;missing;50<x<=100
HU729325;HU10250385;0.0803773;10;0;5;0;0;1;Eger Megyei Jogú Városi Önkormányzat;HU312;3;45233000-9;1;0;HU312;1;Keretmegállapodás vállalkozási szerz?dések megkötése céljából tárgyú eljárás második szakasza, 2. ütem IV. rész: 2009. évi járdafelújítás aszfalt kopóréteggel;0;MAGYAR ASZFALT KFT;HU312;hungary;168553;7-Aug-09;2009;98.112.434;1;open;lowest price;regional/local ;missing;100<x<=500
HU731487;HU10250385;0.1016005;3;0;0;0;0;0;Siófok Város Önkormányzata;HU232;8;45233100-0;3;0;232;0;Kardvirág köz, Harangvirág, Akácvirág utcát út- és járdaépítése és csapadékvíz elvezetése;0;MAGYAR ASZFALT KFT;HU213;hungary;168563;11-Sep-09;2009;273853.44;1;open;price plus quality;regional/local ;general public services;100<x<=500
HU308791;HU10269857;0.0884832;28;0;0;0;0;0;Budapesti M?szaki És Gazdaságtudományi Egyetem;HU101;2;45000000-7;1;0;HU101;0;BME északi terület küls? tüzivíz hálózat felújítása - III. ütem;0;TAVA-BAU ÉPITÖ SZOLGÁLTATO KFT;;hungary;168864;21-Dec-09;2009;107807.39;1;open;lowest price;national ;missing;500<x
HU308791;HU10269857;0.0870846;28;0;0;0;0;0;Budapesti M?szaki És Gazdaságtudományi Egyetem;HU101;3;45000000-7;1;0;HU101;0;BME J épület h?központ felújítási munkái;0;TAVA-BAU ÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168866;30-Sep-09;2009;135424;1;open;lowest price;national ;education;500<x
HU308791;HU10269857;0.0861817;28;0;0;0;0;0;Budapesti M?szaki És Gazdaságtudományi Egyetem;HU101;3;45000000-7;1;0;HU101;0;KTH kialakítása a MBE R épület I. emeletén;0;TAVA-BAU ÉPITÖ SZOLGÁLTATO KFT;;hungary;168865;18-Nov-09;2009;109739.3;1;open;lowest price;national ;education;500<x
HU746034;HU10272392;0.0387874;36;1;18;0;0;0;VÁM- ÉS PÉNZÜGY?RSÉG;HU321;4;45453100-8;1;0;HU322;0;Szolgálati célú lakás felújítása Szolnokon;0;EGGI Épít?- és Szolgáltató Korlátolt Felel?sség? Tá;HU102;hungary;168912;18-Dec-09;2009;72.463.205;1;open;lowest price;national ;missing;500<x
HU726896;HU10301412;0.0938601;3;0;0;1;0;0;Csongrád Városi Önkormányzat;;3;45453100-8;1;1;HU333;1;"„Csongrád Város rehabilitáció kapcsán közösségi épületek felújítása vállalkozási szerz?dés keretében""";0;El?regyártó-Szerel? és Épít?ipari F?vállalkozó Korl�;HU331;hungary;169040;16-Dec-09;2009;175968.55;1;open;lowest price;regional/local ;general public services;100<x<=500
HU14170467;HU10301412;0.1120457;0;0;0;1;0;0;EDU-RÉGIÓ Szakképzési Szolgáltató Közhasznú Non;HU322;3;45210000-2;3;1;Hu;0;Térségi Integrált Szakképz? Központ építése Jászberényben;0;El?regyártó-Szerel? és Épít?ipari F?vállalkozó Korl�;HU331;hungary;169044;23-Nov-09;2009;1297072.4;1;open;price plus quality;other/private ;education;missing
HU329750;HU10322260;0.0260759;1;0;0;0;0;0;Debreceni Egyetem;HU321;2;45000000-7;1;0;HU-32;0;EM-289., ajánlatkér? TEK Kollégiumainak nyári felújítási munkái;0;ÉGBÉ ÉPÜLETGÉPÉSZ ÉS BELSÖÉPITÉSZ KFT;HU321;hungary;169306;30-Sep-09;2009;61.474.845;1;open;lowest price;other/private ;education;500<x
HU728504;HU10335255;0.4571554;0;1;0;0;0;0;Balmazújváros Város Önkormányzata;HU321;1;45210000-2;3;0;HU321;0;irodaépület átalakítása;0;SZABO ÉS NÉMETI SZAK ÉS SZERELÖIPARI KFT /SZIN KFT/;HU321;hungary;169572;24-Aug-09;2009;169567.41;1;other/framework;price plus quality;regional/local ;general public services;500<x
HU735265;HU10337350;0.1021369;1;0;0;0;0;1;Nógrád Megyei Önkormányzat;HU313;2;45210000-2;1;1;HU 31;1;intézmények utólagos akadálymentesítése;0;1+1 KERESKEDELMI ÉS SZOLGÁLTATO KFT;HU313;hungary;169636;5-Aug-09;2009;140899;1;open;lowest price;regional/local ;missing;50<x<=100
HU18635188;HU10337350;0.5101457;0;0;0;0;0;1;Létesítmény és Sport Nonprofit Korlátolt Felel?ss�;HU313;1;45000000-7;5;1;HU313;1;Tarján gyermektábor Erdei Iskola E jel? épület átalakítási és b?vítési munkái;0;1+1 KERESKEDELMI ÉS SZOLGÁLTATO KFT;HU101;hungary;169637;25-Sep-09;2009;202583.7;0;missing/error;price plus quality;regional/local ;missing;missing
HU735793;HU10338076;0.0855279;15;0;6;0;0;0;Budapest F?város XVI.Kerület Önkormányzat;HU101;14;45331110-0;1;0;HU101;0;Budapest XVI. kerület Lemhényi Dezs? Általános Iskola kazánházának felújítása és a gondnoki lakás f?tésszerelése;0;VULKÁN TÜZELÉSTECHNIKAI KFT;HU211;hungary;169668;20-Mar-09;2009;23.014.567;1;open;lowest price;regional/local ;missing;100<x<=500
HU13960430;HU10338832;0.0676886;36;0;0;0;0;0;TIGÁZ-DSO Földgázelosztó Korlátolt Felel?sség? T�;HU321;5;45231220-3;2;0;HU102;0;2009. évi gázelosztó vezeték rekonstrukciós munkák 16 db blokkban;0;INFRASERVICE TERMELÖ ÉS SZOLGÁLTATO KFT;HU102;hungary;169699;24-Jul-09;2009;212566.4;1;open;price plus quality;other/private ;missing;missing
HU733656;HU10346561;0.1031681;10;0;0;0;0;0;Szombathely Megyei Jogú Város Önkormányzata;HU222;5;45214000-0;1;1;HU222;1;az Egyesített Bölcs?dei Intézmény Csodaország Bölcs?de, a Mocorgó Óvoda és a Derkovits Gyula Általános Iskola átalakítása, b?vítése, felújítása, akadálymentesítése;0;BAU-MONT ÉPITÖIPARI KFT;HU222;hungary;169759;2-Sep-09;2009;190942.95;1;open;lowest price;regional/local ;missing;100<x<=500
HU733656;HU10346561;0.1023382;10;0;0;0;0;0;Szombathely Megyei Jogú Város Önkormányzata;HU222;5;45214000-0;1;1;HU222;1;az Egyesített Bölcs?dei Intézmény Csodaország Bölcs?de, a Mocorgó Óvoda és a Derkovits Gyula Általános Iskola átalakítása, b?vítése, felújítása, akadálymentesítése;0;BAU-MONT ÉPITÖIPARI KFT;HU222;hungary;169758;2-Sep-09;2009;146116.69;1;open;lowest price;regional/local ;missing;100<x<=500
HU733656;HU10346561;0.0947687;10;0;0;0;0;0;Szombathely Megyei Jogú Város Önkormányzata;HU222;5;45214000-0;1;1;HU222;1;az Egyesített Bölcs?dei Intézmény Csodaország Bölcs?de, a Mocorgó Óvoda és a Derkovits Gyula Általános Iskola átalakítása, b?vítése, felújítása, akadálymentesítése;0;BAU-MONT ÉPITÖIPARI KFT;HU222;hungary;169760;2-Sep-09;2009;25.928.452;1;open;lowest price;regional/local ;missing;100<x<=500
HU727002;HU10354915;0.0536875;3;0;0;0;0;0;Dunaújváros Megyei Jogú Város Önkormányzata;HU211;3;45232400-6;1;0;HU;1;Dunaújváros, Rosti Pál sor szennyvízelvezetése kiépítési munkáinak elvégzése;0;HBG-T ÉPITÖIPARI KFT;HU211;hungary;169860;4-Dec-09;2009;67492.12;1;open;lowest price;regional/local ;missing;100<x<=500
HU12147715;HU10359264;0.069295;3;3;9;0;0;0;Állami Autópálya Kezel? Zártkör?en m?köd? Részv�;HU101;3;45233140-2;1;0;HU1;0;Ideiglenes burkolati jelek/2009.;0;MAGYAR PLASTIROUTE FORGALOMTECHNIKAI KORLÁTOLT FELEL?SSÉG;HU102;hungary;169909;17-Jun-09;2009;338769.6;1;open;lowest price;national ;missing;missing
HU732660;HU10362998;0.1049246;1;0;2;3;1;6;Jász-Nagykun-Szolnok Megyei Önkormányzat;;8;45215210-2;1;0;HU322;1;Jász-Nagykun-Szolnok Megyei Mészáros L?rinc Gimnázium, Szakképz? Iskola és Kollégium, Jászapáti, Juhász M. út 2-4. sz. alatti kollégiumi épülete átalakítása 94 fér?helyes Id?sek Otthonává;0;BAU-VERTIKÁL ÉPITÖIPARI VÁLLALKOZÁSI ÉS KERESKEDELMI;HU101;hungary;170075;20-Feb-09;2009;391925.05;1;open;lowest price;regional/local ;missing;50<x<=100
HU763138;HU10362998;0.5517997;0;0;1;3;1;6;Jász-Nagykun-Szolnok Szakképzés-Szervezési Társul�;HU322;1;45262500-6;1;1;HU322;0;Tájékoztató kivitelez? kiválasztásáról;0;BAU-VERTIKÁL ÉPITÖIPARI VÁLLALKOZÁSI ÉS KERESKEDELMI;HU101;hungary;170094;28-Sep-09;2009;54.848.369;0;other/framework;lowest price;regional/local ;education;10<x<=25
HU730226;HU10362998;0.124383;0;0;0;3;1;6;Pilisszentiván Község Önkormányzata;HU102;5;45210000-2;4;1;HU102;1;Pilisszentiván - általános iskola épületének b?vítése, átalakítása, felújítása;0;BAU-VERTIKÁL ÉPITÖIPARI VÁLLALKOZÁSI ÉS KERESKEDELMI;HU101;hungary;170065;21-Nov-09;2009;769752.28;1;open;price plus quality;regional/local ;general public services;100<x<=500
HU730941;HU10362998;0.5349162;0;0;0;3;1;6;Szigethalom Város Önkormányzata;HU102;1;45453100-8;1;0;HU102;0;Szigethalom, Szent István Általános Iskola, Szigethalom, Szabadkai út 64. számú épületének felújításához kapcsolódó kiegészít? építési beruházás.;0;BAU-VERTIKÁL ÉPITÖIPARI VÁLLALKOZÁSI ÉS KERESKEDELMI;HU101;hungary;170070;5-Oct-09;2009;86.103.357;0;other/framework;lowest price;regional/local ;general public services;100<x<=500
HU10901232;HU10362998;0.1059444;0;0;0;3;1;6;Magyar Posta Zártkör?en M?köd? Részvénytársaság;;13;45000000-7;2;0;HU102;0;Monor 1. számú posta építési munkáinak elvégzése;0;BAU-VERTIKÁL ÉPITÖIPARI VÁLLALKOZÁSI ÉS KERESKEDELMI;HU101;hungary;170096;29-Jun-09;2009;886177.99;1;open;price plus quality;other/private ;missing;missing
HU597308;HU10364093;0.435835;0;0;0;0;0;0;Vízügyi És Környezetvédelmi Központi Igazgatósá;HU101;2;45231300-8;2;0;HU 21;0;Mocsa, Boldogasszonypuszta, Naszály, Grébicspuszta települések vízellátásának vízmin?ség javítása;0;OMS-HUNGARIA KOMMUNÁLIS SZOLGÁLTATO KFT;HU212;hungary;170127;7-Jan-09;2009;924436.8;0;open;price plus quality;national ;missing;100<x<=500
HU734455;HU10364938;0.0608894;15;0;0;0;0;0;Zalaegerszeg Megyei Jogú Város Önkormányzata;HU223;4;45262700-8;1;0;HU223;0;Landorhegyi Székhelyiskola konyha b?vítéses rekonstrukció II. ütem (NYD-HÖF CÉDE 2008.);0;FÖ-ÉP FÖVÁLLALKOZO ÉS ÉPITÖ KFT;HU223;hungary;170141;25-Sep-09;2009;185518.09;1;open;lowest price;regional/local ;missing;100<x<=500
HU308791;HU10369201;0.0852649;28;0;0;0;0;0;Budapesti M?szaki És Gazdaságtudományi Egyetem;HU101;3;45000000-7;1;0;HU101;0;BME J épület tet?felújítás;0;HYDROPROOF MAGAS ÉS MÉLYÉPITMÉNYSZIGETELÖ ÉS SZOLGÁL;HU101;hungary;170238;23-Dec-09;2009;87474;1;open;lowest price;national ;education;500<x
HU308791;HU10369201;0.083885;28;0;0;0;0;0;Budapesti M?szaki És Gazdaságtudományi Egyetem;HU101;2;45000000-7;1;0;HU101;0;BME uszoda épület üvegfalának felújítási munkái;0;HYDROPROOF MAGAS ÉS MÉLYÉPITMÉNYSZIGETELÖ ÉS SZOLGÁL;HU101;hungary;170239;30-Sep-09;2009;63296;1;open;lowest price;national ;education;500<x
HU734455;HU10378096;0.0871057;15;0;0;0;0;0;Zalaegerszeg Megyei Jogú Város Önkormányzata;HU223;4;45233120-6;1;0;HU223;0;Zalaegerszeg város közúthálózatának (utak, parkolók) kisebb építési munkái, IV. csomag (el?zménye KÉ-5277/2008);0;SPRINT KERESKEDELMI ÉS SZOLGÁLTATO KFT;HU223;hungary;170317;7-Jan-09;2009;56.294.723;1;open;lowest price;regional/local ;missing;100<x<=500
HU734455;HU10378096;0.1202698;15;0;0;0;0;0;Zalaegerszeg Megyei Jogú Város Önkormányzata;HU223;4;45233120-6;1;0;HU223;0;Zalaegerszeg város közúthálózatának (utak, parkolók) kisebb építési munkái  - városi járdák, lépcs?k kisebb építési munkái - 5. csomag;0;SPRINT KERESKEDELMI ÉS SZOLGÁLTATO KFT;HU223;hungary;170316;2-Feb-09;2009;42.027.453;1;missing/error;lowest price;regional/local ;missing;100<x<=500
HU11184557;HU10381328;0.0671856;0;0;0;0;0;0;KOMÁROM-ÁCS VIZMÜ KFT /VIZAK KFT/;HU212;3;45231300-8;3;0;HU212;1;Vízák Kft. kezelésében lév? ivóvízhálózat felújítása;0;BONEX ÉPITÖIPARI KFT;HU102;hungary;170549;12-Oct-09;2009;443448.51;1;open;price plus quality;other/private ;missing;missing
HU14460775;HU10381603;0.5283877;0;0;0;0;1;0;JÁNOSHALMI KISTÉRSÉGI EGÉSZSÉGÜGYI KÖZPONT Nonpr;HU331;8;45000000-7;4;1;HU331;1;Jánoshalmi Kistérségi Egészségügyi Központ Nonprofit Közhasznú Kft.;0;MODINVEST ÉPITÖIPARI-BERUHÁZO ÉS KERESKEDELMI KFT;HU331;hungary;170585;12-Aug-09;2009;1428350;1;negotiation;price plus quality;established by public law;missing;missing
HU725053;HU10381603;0.5865166;0;0;1;0;1;0;Békés Megyei Önkormányzat;HU332;1;45000000-7;8;0;HU332;0;Békés Megyei Tudásház és Könyvtár felújítása, b?vítése;0;MODINVEST ÉPITÖIPARI-BERUHÁZO ÉS KERESKEDELMI KFT;HU331;hungary;170583;27-Feb-09;2009;2766580.3;1;invitation;price plus quality;regional/local ;missing;50<x<=100
HU13851325;HU10383083;0.0829854;6;0;0;0;0;0;HungaroControl Magyar Légiforgalmi Szolgálat Zártkö;HU101;5;45232152-2;1;0;HU2;0;K?rishegyi olajszivattyú-szín felújítása;0;PETROL ÜZEMANYAGTÖLTÖ ÁLLOMÁSOKAT ÉPITÖ SZERELÖ ÉS;HU101;hungary;170593;16-Dec-09;2009;16405.95;1;open;lowest price;established by public law;missing;missing
HU492676;HU10385054;0.0945155;1;0;0;0;0;0;F?városi Önkormányzat Uzsoki Utcai Kórház;HU101;2;45313100-5;7;0;HU101;0;ajánlatkér? Hungária krt-i épületében 1 db min. 1600 kg teherbírású teherfelvonó, valamint 1 db min. 450 kg teherbírású szemyélfelvonó teljes felújítása, a járulékos gépészeti és épí;0;OTIS FELVONO KFT;HU101;hungary;170633;25-Nov-09;2009;76500.6;1;open;price plus quality;regional/local ;missing;500<x
HU13792679;HU10386471;0.5350552;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXVIII.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170661;19-Oct-09;2009;7866.57;0;other/framework;lowest price;established by public law;environment;missing
HU13792679;HU10386471;0.5622682;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXIX.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170665;18-Sep-09;2009;18400;0;other/framework;lowest price;other/private ;environment;missing
HU13792679;HU10386471;0.5626369;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;10;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXI.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170667;7-Aug-09;2009;19514.6;0;other/framework;lowest price;other/private ;environment;missing
HU13792679;HU10386471;0.5634181;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXX.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170664;25-Sep-09;2009;21417.6;0;other/framework;lowest price;other/private ;environment;missing
HU13792679;HU10386471;0.5371332;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XIX.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170670;22-Jul-09;2009;10276;0;other/framework;lowest price;established by public law;environment;missing
HU13792679;HU10386471;0.5591714;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXXI.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170663;12-Oct-09;2009;12364.95;0;other/framework;lowest price;other/private ;environment;missing
HU13792679;HU10386471;0.5376557;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;10;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XX.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170668;24-Jul-09;2009;11010;0;other/framework;lowest price;established by public law;environment;missing
HU13792679;HU10386471;0.5560496;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXXI.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170662;12-Oct-09;2009;8187.35;0;other/framework;lowest price;other/private ;environment;missing
HU13792679;HU10386471;0.5605785;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXIX.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170666;18-Sep-09;2009;14720;0;other/framework;lowest price;other/private ;environment;missing
HU13792679;HU10386471;0.5371332;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;9;45231400-9;1;0;HU33;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XIX.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170671;22-Jul-09;2009;10276;0;other/framework;lowest price;established by public law;environment;missing
HU13792679;HU10386471;0.5612475;15;3;18;0;0;0;EDF DÉMÁSZ Hálózati Elosztó Kft.;HU333;10;45231400-9;1;0;HU3;0;KÖF/KIF villamos energia elosztó hálózatok létesítése XXII.;0;ÉSZAK - BUDAI Tervez?, Szerel? és Szolgáltató Korlátol;HU101;hungary;170669;24-Jul-09;2009;16148;0;other/framework;lowest price;other/private ;environment;missing
HU725053;HU10386976;0.0979525;0;0;1;0;0;0;Békés Megyei Önkormányzat;HU332;5;45400000-1;1;0;HU332;0;Vállalkozási szerz?dés a Farkas Gyula Közoktatási Intézmény 100 f?s kollégiumi épület felújítási munkáinak kivitelezésére.;0;KÁROLYI ÉS TÁRSA ÉPITÉSI VÁLLALKOZO KFT;HU332;hungary;170691;9-Oct-09;2009;447600;1;open;lowest price;regional/local ;general public services;50<x<=100
HU329651;HU10387355;0.0979557;1;0;0;0;0;0;Magyar Kereskedelmi Engedélyezési Hivatal;HU101;4;45317000-2;1;0;HU101;0;A Magyar Kereskedelmi Engedélyezési Hivatal Budapest XII. Németvölgyi u. 37-39. sz. alatti telephelyén beléptet? rendszer szerelési és telepítési munkák elvégzése.;0;B CONSULTING SERVICE VAGYONVÉDELMI KFT;HU101;hungary;170698;6-Nov-09;2009;24682.13;1;open;lowest price;national ;general public services;100<x<=500
HU490276;HU10404797;0.0622547;0;0;0;0;0;0;F?városi Önkormányzat Csarnok És Piac Igazgatóság;HU101;2;45000000-7;5;0;HU-10;0;Különféle építési munkák III., 2009;0;FTSK EXCELSIOR IPARI SZOLGÁLTATO KFT;HU101;hungary;170884;2-Dec-09;2009;62209.02;1;open;price plus quality;regional/local ;missing;100<x<=500
