Source;Target;cri_comp;anb_name;ca_cpv;ca_criteria_count;ca_eufund;ca_nuts;ca_scntr_sc;ca_title;w_name;country;ca_date;ca_year;ca_contract_value;nocft;ca_procedure;ca_criterion
SK00306487;SK31428568;0,58575;Obec Iža;45212000-6;2;1;SK023;0;Rekonštrukcia kultúrneho domu, Iža;Stabac, spol. s r. o;slovakia;26-Mar-09;2009;886242,7;1;open;lowest price
SK00305685;SK36261483;0,5843619;Obec Padáň;45211350-7;6;1;SK021;0;Revitalizácia multifunkčného centra v obci Padáň;TRIMENT, s. r. o;slovakia;2-Apr-09;2009;652688,26;1;open;price plus quality
SK00311910;SK36218740;0,5841917;Obec Pobedim;45211000-9;4;0;SK022;0;12-bytový dom - Pobedim;Zempres, s. r. o;slovakia;20-Mar-09;2009;629376,01;1;open;price plus quality
SK00308358;SK35101199;0,5839249;Obec Obyce;45211000-9;4;0;SK023;0;Bytový dom II - 12 b. j. + TV, bytový dom III - 6 b. j. + TV;Emília Štuková ELSE STYL;slovakia;19-Mar-09;2009;593564,94;1;open;price plus quality
SK36403016;;0,5791311;Martinská teplárenská, a.s;45331100-7;2;0;SK031;0;Rekonštrukcia kotla K4 na stacionárny fluidný kotol s bublinkujúcou fluidnou vrstvou na spaľovanie biomasy;Metso Power Oy;slovakia;19-Mar-09;2009;10566959;0;open;lowest price
SK35562340;SK36191892;0,5770148;Inštitút nukleárnej a molekulárnej medicíny;45200000-9;2;1;SK042;1;Výstavba Inštitútu nukleárnej a molekulárnej medicíny Košice;Chemkostav a .s;slovakia;17-Nov-09;2009;8014571,5;0;open;lowest price
SK36403016;SK31356648;0,5726885;Martinská teplárenská, a.s;45251200-3;2;0;SK031;1;Palivové hospodárstvo biomasy kotla K4;VÁHOSTAV-SK, a. s;slovakia;13-May-09;2009;4061508,4;0;open;lowest price
SK36719170;SK31637965;0,5719349;AQUA KUBÍN, s.r.o;45212000-6;4;0;SK031;1;Výstavba - AQUARELAX, Dolný Kubín, II. etapa;Oraving, s. r. o;slovakia;26-Mar-09;2009;5398319,7;0;open;price plus quality
SK00311162;SK36536008;0,5717124;Mesto Topoľčany;45200000-9;2;0;SK023;1;Nájomné byty, sídlisko Juh nábrežie v Topoľčanoch;ZUKEP s.r.o, Urmince;slovakia;17-Jul-09;2009;485958,08;0;other/framework;lowest price
SK30844878;SK35801514;0,5693828;Najvyšší kontrolný úrad Slovenskej republiky;45262000-1;4;0;SK01;1;Vzdelávaco-kongresové centrum - interiérové stavebné úpravy 7. poschodia budovy NKÚ SR, Bratislava;ETPROM, s. r. o;slovakia;27-Jan-09;2009;692995,85;0;open;price plus quality
SK00365327;SK36380458;0,569118;Martinská fakultná nemocnica;45215100-8;2;1;SK031;1;Dostavba Chirurgického pavilónu 04;STAVOUNIVERZÁL, s.r.o;slovakia;17-Dec-09;2009;12144530;0;open;lowest price
SK35910739;SK36425851;0,5659698;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;STREICHER SK, a.s;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK17336112;SK36228427;0,5659389;Fakultná nemocnica s poliklinikou Nové Zámky;45215100-8;2;1;SK023;1;Modernizácia FNsP Nové Zámky;BALA, a. s;slovakia;3-Oct-09;2009;7360713,3;0;open;lowest price
SK00151491;SK31356648;0,5658056;Kancelária Národnej rady Slovenskej republiky;45212350-4;2;0;SK010;1;Národná kultúrna pamiatka Bratislavský hrad - rekonštrukcia hradného paláca. Časť - Hradby;VÁHOSTAV - SK, a.s;slovakia;28-Dec-09;2009;1008221,3;0;other/framework;lowest price
SK00323187;SK31721079;0,5647004;Obec Krásny Brod;45246400-7;2;1;SK041;0;Regulácia potoka Rokytovec v rámci projektového zámeru Realizácia protipovodňových opatrení v obci Krásny Brod;C.M.R. Slovakia, s.r.o;slovakia;1-Oct-09;2009;1157652,7;0;open;lowest price
SK00323233;SK31680321;0,5645512;Mesto Medzilaborce;45331110-0;6;1;SK041;0;Diverzifikácia palivovej základne na výrobu tepla a inštalácia kotla na spaľovanie biomasy;Energobyt, s. r. o., Humenné;slovakia;3-Feb-09;2009;1136543,4;0;open;price plus quality
SK00319091;SK36435309;0,5644232;Mesto Tornaľa;45213251-7;2;1;SK032;0;Hnedý priemyselný park Tornaľa;D. V. L., s. r. o. - SLIŽSTAV, s. r. o;slovakia;15-Jun-09;2009;5814610,4;0;open;lowest price
SK00323021;SK31651518;0,5631649;Mesto Humenné;45222110-3;2;1;SK041;0;Uzavretie a rekultivácia skládky TKO Myslina;EUROVIA - Cesty, a. s;slovakia;16-Jun-09;2009;911656,55;0;open;lowest price
SK00311863;SK36301311;0,563042;Mesto Nové Mesto nad Váhom;45215210-2;2;0;SK022;1;Bytové domy Čachtická - výstavba nájomných bytov v Novom Meste nad Váhom, II. etapa;IZOTECH GROUP, s. r. o;slovakia;13-Feb-09;2009;4695919;0;open;lowest price
SK00325490;SK31695132;0,5627325;Mesto Michalovce;45321000-3;2;0;SK042;0;Michalovce - stavebné úpravy a zateplenie malometrážnych bytov, Ulica obrancov mieru;ANTES PLUS, spol. s r. o;slovakia;5-Mar-09;2009;851859,53;0;open;lowest price
SK00325490;SK31663834;0,5626766;Mesto Michalovce;45261000-4;2;0;SK042;0;Michalovce - nadstavba malometrážnych bytov, Ulica obrancov mieru;STAVOTERM Michalovce, s. r. o;slovakia;5-Mar-09;2009;844435,3;0;open;lowest price
SK00151491;SK31356648;0,5625765;Kancelária Národnej rady Slovenskej republiky;45212350-4;2;0;SK010;0;Národná kultúrna pamiatka Bratislavský hrad - rekonštrukcia hradného paláca;VÁHOSTAV-SK, a. s;slovakia;20-Mar-09;2009;607514,84;0;other/framework;lowest price
SK17058520;SK31709257;0,5603349;Štátna ochrana prírody Slovenskej republiky;45341000-9;2;1;SK031;0;Rekonštrukcia návštevnej trasy v Demänovskej ľadovej jaskyni;Zamgeo, spol. s r.o;slovakia;14-Jan-09;2009;555446,28;0;open;lowest price
SK35910739;SK36261157;0,5602589;SPP - distribúcia, a.s;45231220-3;2;0;SK0;;MIMORIADNE PROJEKTY, HAVARIJNÉ REKONŠTRUKCIE A OPRAVY NTL A STL PLYNOVODOV SPP - DISTRIBÚCIA, A.S;TIM IS, s.r.o;slovakia;30-Oct-09;2009;3019479,7;0;open;lowest price
SK00313971;SK32242280;0,5601534;Mesto Čadca;45000000-7;2;0;SK031;0;HBV Čadca - Kyčerka, II. etapa;Miloš Buček - Tempro;slovakia;22-Jan-09;2009;2984807,1;0;open;lowest price
SK35919001;SK25317628;0,5598913;Národná diaľničná spoločnosť, a.s;45111000-8;2;0;SK03;1;Oprava mosta ev. č. 050-171A, Hronská Breznica;FIRESTA - Fišer, rekonstrukce, stavby, a. s;slovakia;14-Feb-09;2009;547147,62;0;open;lowest price
SK00321796;SK31634770;0,5594437;Mesto Žilina;45211000-9;2;0;SK031;0;Žilina-Hájik, 2. stavba, bytový objekt E9 - 62 bytových jednotiek;Slovpanel, a. s;slovakia;24-Feb-09;2009;2670311,3;0;open;lowest price
SK00321125;SK36057088;0,5581419;Mesto Žiar nad Hronom;45000000-7;2;0;SK032;0;Prestavba nebytových priestorov na nájomné byty, Tajovského 34 - architektonicko-stavebné riešenie;REMESLOstav, s. r. o;slovakia;20-Jan-09;2009;303896,51;0;other/framework;lowest price
SK31825249;SK31637965;0,5577522;Trnavská univerzita v Trnave - Rektorát;45214400-4;2;1;SK021;0;Stavebné práce na rekonštrukcii a modernizácii budovy Filozofickej fakulty Trnavskej univerzity;Oraving, s.r.o;slovakia;22-Jul-09;2009;2039766,8;0;open;lowest price
SK00325813;SK31651518;0,5576549;Mesto Strážske;45231300-8;2;0;SK042;0;Rozšírenie stokovej siete mesta Strážske;EUROVIA - Cesty, a. s;slovakia;22-Jan-09;2009;2016928,1;0;open;lowest price
SK00309745;SK31631134;0,5563613;Mesto Myjava;45214210-5;2;1;SK022;0;Modernizácia ZŠ Viestova, Myjava;COMBIN BANSKÁ ŠTIAVNICA, s. r. o;slovakia;21-Jan-09;2009;1646472;0;open;lowest price
SK37977733;SK31634770;0,5561944;Matra, n.o;45211000-9;2;0;SK031;0;Výstavba bytového objektu A3 - 32 b. j., Martin-Košúty;Slovpanel, a. s;slovakia;10-Mar-09;2009;1599119;0;open;lowest price
SK00312002;SK35683066;0,5557851;Mesto Stará Turá;45214210-5;2;1;SK022;0;Rekonštrukcia a prístavba Základnej školy, Stará Turá;EURO-BUILDING, a. s;slovakia;16-Apr-09;2009;1498171,5;0;open;lowest price
SK00315699;SK36440906;0,5554868;Obec Podtureň;45211000-9;2;0;SK031;0;Bytové domy, Podtureň, 2. etapa - 3 x 14 b. j;LUZK, s. r. o;slovakia;17-Jan-09;2009;1435403,9;0;open;lowest price
SK00311162;SK36536008;0,5554317;Mesto Topoľčany;45231112-3;2;0;SK023;0;Výmena rozvodov ÚK na sídlisku JUH, stavebný objekt SO 4;ZUKEP, s. r. o;slovakia;28-May-09;2009;198047;0;other/framework;lowest price
SK00315524;SK31634770;0,5553599;Mesto Liptovský Mikuláš;45000000-7;2;0;SK031;0;Bytový dom, 27 b. j., Liptovský Mikuláš-Palúdzka;Slovpanel, a. s;slovakia;10-Feb-09;2009;1407121,3;0;open;lowest price
SK35910739;SK35840323;0,5547398;SPP - distribúcia, a.s;45231220-3;2;0;SK0;0;Pripojovacie plynovody pre pripojenie odberného plynárenského zariadenia k distribučnej sieti SPP - distribúcia, a. s., v regionálnom centre Západ;MARKO GAS, s. r. o;slovakia;5-Jun-09;2009;1272862,1;0;open;lowest price
SK35910739;SK35840323;0,5547398;SPP - distribúcia, a.s;45231220-3;2;0;SK0;0;Pripojovacie plynovody pre pripojenie odberného plynárenského zariadenia k distribučnej sieti SPP - distribúcia, a. s., v regionálnom centre Západ;MARKO GAS, s. r. o;slovakia;5-Jun-09;2009;1272862,1;0;open;lowest price
SK00320943;SK36014354;0,5539239;Obec Prenčov;45211000-9;2;0;SK032;0;Nájomné byty v obci Prenčov;SimKor, s. r. o;slovakia;19-Feb-09;2009;1123295,6;0;open;lowest price
SK00317195;SK31634770;0,5538739;Obec Domaniža;45215210-2;2;0;SK022;0;Výstavba 21-bytového nájomného domu v obci Domaniža;SLOVPANEL, a. s;slovakia;5-Mar-09;2009;1111175,6;0;open;lowest price
SK00321125;SK36057088;0,5538489;Mesto Žiar nad Hronom;45000000-7;2;0;SK032;0;Prestavba nebytových priestorov na nájomné byty, Tajovského 34 - architektonicko-stavebné riešenie;REMESLOstav, s. r. o;slovakia;20-Jan-09;2009;154966,14;0;other/framework;lowest price
SK00311863;SK35683066;0,5538147;Mesto Nové Mesto nad Váhom;45214210-5;2;1;SK022;0;Rekonštrukcia a zateplenie obvodového plášťa Základnej školy na ul. Tematínskej - Nové Mesto nad Váhom;EURO-BUILDING, a. s;slovakia;12-Jun-09;2009;1100910,7;0;open;lowest price
SK00320501;SK31631134;0,5537763;Mesto Banská Štiavnica;45214210-5;2;1;SK032;0;Rekonštrukcia Základnej školy J. Horáka v Banskej Štiavnici;COMBIN BANSKÁ ŠTIAVNICA, s. r. o;slovakia;29-Apr-09;2009;1093193,7;0;open;lowest price
SK00325791;SK37885430;0,5537541;Mesto Sobrance;45214210-5;2;1;SK041;0;Rekonštrukcia ZŠ v Sobranciach (zlepšenie kvality výchovno-vzdelávacích služieb v podmienkach Základnej školy, Komenského 12, Sobrance);EURO-STAV združenie;slovakia;20-Mar-09;2009;1090485,3;0;open;lowest price
SK00308951;SK36526002;0,5535796;Obec Kamenica nad Hronom;45211000-9;6;0;SK023;1;SO 01 - nájomný bytový dom 3 x 7 b. j., typ Profis 4, Kamenica nad Hronom, SO 02 - vodovodné prípojky, SO 03 - STL prípojky, SO 04 - predĺženie vonkajšej kanalizácie, SO 05 - kanalizačné pr;S. F. H., s. r .o;slovakia;14-Jan-09;2009;1064240,1;0;open;price plus quality
SK00313980;SK30223849;0,5532494;Obec Čierne;45214200-2;2;1;SK031;0;Rekonštrukcia a modernizácia ZŠ a MŠ - zvýšenie kvality vzdelávania a docielenie energetickej efektívnosti;STAVOSPOL, spol. s r. o;slovakia;26-Mar-09;2009;1007481,2;0;open;lowest price
SK00326607;SK17147387;0,5529631;Mesto Svit;45211340-4;2;0;SK041;0;Nájomný bytový dom, Svit;UNISTAV, s. r. o., Prešov;slovakia;20-Jan-09;2009;966131,93;0;open;lowest price
SK00330167;SK00188034;0,5528855;Mesto Stará Ľubovňa;45211340-4;2;0;SK041;0;Nájomný dom - 26 b. j., Stará Ľubovňa;Pienstav, a. s;slovakia;20-Jan-09;2009;954430,09;0;open;lowest price
SK00310832;SK31435513;0,5527537;Obec Nitrianska Streda;45211340-4;6;0;SK023;0;Bytový dom 18 BJ + TV, Nitrianska Streda;AGROSTAV HSV, spol. s r. o., Zlaté Moravce;slovakia;20-Feb-09;2009;934903,5;0;open;price plus quality
SK35910739;SK34118152;0,5526858;SPP - distribúcia, a.s;45231220-3;2;0;SK0;0;Pripojovacie plynovody pre pripojenie odberného plynárenského zariadenia k distribučnej sieti SPP - distribúcia, a.s., v regionálnom centre Juh;PKP.system s.r.o;slovakia;19-Sep-09;2009;918525,75;0;open;lowest price
SK35910739;SK36320251;0,5526858;SPP - distribúcia, a.s;45231220-3;2;0;SK0;0;Pripojovacie plynovody pre pripojenie odberného plynárenského zariadenia k distribučnej sieti SPP - distribúcia, a.s., v regionálnom centre Juh;VOTEP, s.r.o;slovakia;19-Sep-09;2009;918525,75;0;open;lowest price
SK00325791;SK31704069;0,5524247;Mesto Sobrance;45214210-5;2;1;SK041;0;Rekonštrukcia Základnej školy Komenského 6. Zlepšenie podmienok pri poskytovaní výchovno-vzdelávacích služieb na Základnej škole Komenského 6 Sobrance;REKOS splo. s r.o;slovakia;4-Aug-09;2009;882552,84;0;open;lowest price
SK00327972;SK36449717;0,5521643;Mesto Veľký Šariš;45214210-5;2;1;SK041;0;Rekonštrukcia Základnej školy vo Veľkom Šariši;EKO SVIP, spol. s r. o;slovakia;21-May-09;2009;849782,52;0;open;lowest price
SK00326917;SK44204035;0,5520384;Obec Červenica;45211000-9;4;0;SK041;1;IBV, nízkoštandardné domy, Červenica - II. etapa;ROMSPOL, s. r. o;slovakia;12-Mar-09;2009;833161,21;0;open;price plus quality
SK00324655;SK31690360;0,5518525;Obec Rozhanovce;45214200-2;2;1;SK042;0;Rekonštrukcia a modernizácia MŠ - Rozhanovce;Dúha, a. s;slovakia;22-Apr-09;2009;808396,05;0;open;lowest price
SK00323560;SK31692648;0,5517738;Mesto Snina;45214210-5;2;1;SK041;0;Rekonštrukcia základnej školy 1. mája v Snine;TOPSTAV, s. r. o;slovakia;28-Jan-09;2009;801694,1;0;open;lowest price
SK00318442;SK41850165;0,5517733;Mesto Prievidza;45312000-7;2;0;SK022;0;Autonómny systém varovania a vyrozumenia Zimný štadión Prievidza;Martin Lubik - ELAR;slovakia;9-Feb-09;2009;153111,92;0;open;lowest price
SK37916343;SK17317282;0,55175;Krajský pozemkový úrad v Trenčíne;45233120-6;2;1;SK022;0;Realizácia spoločných zariadení a opatrení v obvode pozemkových úprav navrhnutých v projekte pozemkových úprav v katastrálnom území Pochabany, okres Bánovce nad Bebravou;STRABAG, s.r.o;slovakia;29-Jul-09;2009;795507,58;0;open;lowest price
SK00314897;SK36390151;0,5517353;Mesto Trstená;45214210-5;2;1;SK031;0;Rekonštrukcia a modernizácia Materskej školy, Oslobodenia 941, Trstená;OMOSS, spol s r. o., stavebno-obchodná spoločnosť;slovakia;29-Apr-09;2009;793668,45;0;open;lowest price
SK37870475;SK10739254;0,5516786;Prešovský samosprávny kraj;45214220-8;2;1;SK041;0;Rekonštrukcia Spojenej školy Ľ. Podjavorinskej v Prešove;Ing. Miroslav Mularčík-MOVYROB;slovakia;4-Jun-09;2009;787434,68;0;open;lowest price
SK00327794;SK36449717;0,5516659;Obec Šarišské Dravce;45214210-5;2;1;SK041;0;Komplexná rekonštrukcia objektov ZŠ a MŠ, Šarišské Dravce;EKO SVIP, spol. s r. o;slovakia;14-May-09;2009;785867,27;0;open;lowest price
SK37870475;SK31690360;0,551614;Prešovský samosprávny kraj;45214200-2;2;1;SK041;0;Rekonštrukcia SOŠ, Volgogradská 1, Prešov (do 31. 8. 2008 SOU stavebné);Dúha, a. s;slovakia;19-Jun-09;2009;779494,56;0;open;lowest price
SK00306550;SK31428568;0,5515367;Obec Marcelová;45211350-7;4;0;SK023;0;Výstavba nájomných bytov s 18 bytovými jednotkami v obci Marcelová;STABAC, spol. s r. o;slovakia;21-Jan-09;2009;772424,47;0;open;price plus quality
SK00308749;SK17330165;0,5514565;Obec Andovce;45211000-9;2;0;SK023;0;2 x 8 b. j. nájomné bytové domy A/I a A/II, Andovce;MENERT, spol. s r. o;slovakia;31-Jan-09;2009;762749,75;0;open;lowest price
SK00317586;SK36683744;0,5514392;Mesto Nová Dubnica;45214210-5;2;1;SK022;0;Rekonštrukcia a zateplenie Materskej školy P. Jilemnického 12/5 a elokovaných pracovísk v Novej Dubnici;BENY-STAV Prievidza, s. r. o;slovakia;23-Jun-09;2009;758407,23;0;open;lowest price
SK37870475;SK36461733;0,5514325;Prešovský samosprávny kraj;45214220-8;2;1;SK041;0;Rekonštrukcia SOŠ Vranov nad Topľou, A. Dubčeka 963;PKB invest, s. r. o;slovakia;4-Jun-09;2009;757620,03;0;open;lowest price
SK00306711;SK34107100;0,5514154;Obec Bátorove Kosihy;45211000-9;2;0;SK023;1;Nájomné bytové domy 2 * 7 b. j., Bátorove Kosihy;PROSPECT, spol. s r. o;slovakia;21-Jan-09;2009;757853,71;0;open;lowest price
SK00316121;SK36183792;0,551398;Obec Kalinovo;45214210-5;2;1;SK032;0;Rekonštrukcia objektov Základnej školy a Materskej školy, Kalinovo;J. P. - STAV, spol. s r. o;slovakia;10-Apr-09;2009;752765,14;0;open;lowest price
SK37870475;SK36461733;0,551334;Prešovský samosprávny kraj;45216111-5;2;0;SK041;1;,Rekonštrukcia objektu bývalej NsP, Vranov - kopec pre potreby PZ VT - realizácia stavby;PKB invest, s. r. o;slovakia;14-Jan-09;2009;748235,32;0;open;lowest price
SK00326526;SK31649971;0,551289;Mesto Spišská Stará Ves;45212410-3;2;0;SK041;1;16 b. j., nájomné byty - blok A + TV na Štúrovej ulici v meste Spišská Stará Ves;Doming, spol. s r. o;slovakia;20-Jan-09;2009;742975,45;0;open;lowest price
SK00318361;SK35701412;0,551177;Mesto Nováky;45211000-9;2;0;SK022;1;Nájomný bytový dom, Ulica Matice slovenskej, Nováky;Area Medica Slovaca, s. r. o;slovakia;12-Feb-09;2009;730035,72;0;open;lowest price
SK00321699;SK31634770;0,5511689;Obec Terchová;45215210-2;2;0;SK031;0;Výstavba 14-bytového nájomného domu v obci Terchová;SLOVPANEL, a. s;slovakia;5-Mar-09;2009;726923,7;0;open;lowest price
SK00311839;SK36301311;0,5510867;Obec Nová Bošáca;45215210-2;2;0;SK022;0;10 b. j. - Nová Bošáca;IZOTECH GROUP, s. r. o;slovakia;7-Mar-09;2009;717605,8;0;open;lowest price
SK00800236;SK36526002;0,5510185;Obec Úľany nad Žitavou;45211340-4;2;0;SK023;0;Výstavba nájomných bytov 2 x 7 b. j. Úľany nad Žitavou;SFH, spol. s r. o;slovakia;24-Jun-09;2009;709969,45;0;open;lowest price
SK00316091;SK14183293;0,5509914;Obec Halič;45214210-5;2;1;SK032;0;Rekonštrukcia Základnej školy s materskou školou, Halič - výmena okien, zateplenie fasády a rekonštrukcia sociálnych zariadení;Ing. Milan Podhora - CONSTRUCT;slovakia;8-May-09;2009;706958,17;0;open;lowest price
SK00311812;SK36834921;0,5508544;Mesto Nemšová;45214210-5;2;1;SK022;0;Rekonštrukcia a nadstavba ZŠ, Ulica Janka Palu v Nemšovej;HANT BA DS, a. s;slovakia;28-Mar-09;2009;691930,28;0;open;lowest price
SK00317080;SK36294144;0,5508336;Obec Bolešov;45214210-5;2;1;SK022;0;Rekonštrukcia a regenerácia areálu ZŠ a MŠ v Bolešove;FURMET GROUP, s. r. o;slovakia;7-Apr-09;2009;688983,81;0;open;lowest price
SK00305413;SK31408320;0,5507787;Obec Horná Potôň;45211340-4;2;0;SK021;0;Bytový nájomný dom 18 b. j. a IS, Horná Potôň;TM-STAV, s. r. o;slovakia;21-Feb-09;2009;685818,13;0;open;lowest price
SK00319805;SK36004073;0,5505385;Mesto Detva;45214200-2;2;1;SK032;0;Stavebné úpravy I. ZŠ, Detva - riešenie havarijného stavu a zateplenie;SIRO plus, s. r. o;slovakia;6-May-09;2009;658473,43;0;open;lowest price
SK00159476;SK36168386;0,5505166;Stredná odborná škola;45214200-2;2;1;SK041;0;Obnova objektu školy a telocvične - SOŠ Komenského 16, Lipany;FORMAT Prešov, s. r. o;slovakia;20-Jun-09;2009;656216,36;0;open;lowest price
SK00003328;SK30228247;0,5503343;Slovenská správa ciest;45000000-7;2;0;SK042;1;I/18 Topoľany - Michalovce, oprava cesty, II. etapa;C. S. BITUNOVA, s. r. o;slovakia;28-Feb-09;2009;639635,39;0;open;lowest price
SK00314846;SK31637965;0,5502515;Obec Rabčice;45214210-5;2;1;SK031;0;Oprava a prestavba ZŠ a MŠ Rabčice;Oraving, s. r. o;slovakia;20-Jun-09;2009;629482,61;0;open;lowest price
SK00330116;SK36168335;0,5501825;Obec Plaveč;45214210-5;2;1;SK041;0;Rekonštrukcia Základnej školy s materskou školou, Plaveč;ARPROG, akciová spoločnosť, Poprad;slovakia;29-Apr-09;2009;622085,27;0;open;lowest price
SK17067707;SK35765607;0,550082;Obec Orovnica;45211000-9;6;0;SK032;0;Bytový dom - 12 bytov, Orovnica;ŠTUDIO - 21 plus, s. r. o;slovakia;16-Mar-09;2009;612965,2;0;open;price plus quality
SK37870475;SK10739254;0,5499983;Prešovský samosprávny kraj;45214220-8;2;1;SK041;0;Rekonštrukcia SPŠ Bardejov;Ing. Miroslav Mularčík-MOVYROB;slovakia;23-May-09;2009;604969,24;0;open;lowest price
SK00309745;SK36298891;0,5498158;Mesto Myjava;45214210-5;2;1;SK022;0;MŠ Myjava, SNP 407/1 - modernizácia;STAS, s. r. o;slovakia;23-Jun-09;2009;587895,76;0;open;lowest price
SK00308412;SK36521671;0,5496899;Obec Rumanová;45211000-9;4;0;SK023;1;Nájomný bytový dom, 15 b. j. - Rumanová;Mosap, a. s;slovakia;5-Feb-09;2009;578136,07;0;open;price plus quality
SK00306177;SK36258547;0,5496147;Mesto Sládkovičovo;45214210-5;2;1;SK021;0;Rekonštrukcia a modernizácia Spojenej školy, Školská 1087, Sládkovičovo;Savingplus, spol. s r. o;slovakia;28-Feb-09;2009;571347,73;0;open;lowest price
SK35910739;SK34109391;0,5495754;SPP - distribúcia, a.s;45231220-3;2;0;SK0;0;Pripojovacie plynovody pre pripojenie odberného plynárenského zariadenia k distribučnej sieti SPP - distribúcia, a. s., v regionálnom centre Sever;KOVAGAZ s.r.o;slovakia;6-Jun-09;2009;566135,55;0;open;lowest price
SK35910739;SK11941316;0,5495754;SPP - distribúcia, a.s;45231220-3;2;0;SK0;0;Pripojovacie plynovody pre pripojenie odberného plynárenského zariadenia k distribučnej sieti SPP - distribúcia, a. s., v regionálnom centre Sever;TEMPOPLYN, Ján Myslovič;slovakia;6-Jun-09;2009;566135,55;0;open;lowest price
SK00313726;SK31631134;0,5493298;Obec Polomka;45214210-5;2;1;SK032;0;Revitalizácia Základnej školy v Polomke;COMBIN BANKÁ ŠTIAVNICA, s. r. o;slovakia;7-Apr-09;2009;544191,63;0;open;lowest price
SK00315346;SK17789281;0,5490633;Obec Kvačany;45211000-9;2;0;SK031;0;Bytový dom 12 b. j., Kvačany;Ivan Zelina DAN-ZEL;slovakia;20-Jan-09;2009;524006,03;0;open;lowest price
SK00311081;SK31637965;0,5490504;Obec Solčany;45214200-2;2;1;SK023;0;Rekonštrukcia a modernizácia Základnej školy s materskou školou v Solčanoch;Oraving, s. r. o;slovakia;12-Mar-09;2009;521378,02;0;open;lowest price
SK00307726;SK36530328;0,5488491;Obec Alekšince;45214100-1;2;1;SK023;0;Rekonštrukcia a modernizácia základnej školy, Alekšince;ELLIO, spol. s r. o;slovakia;13-Feb-09;2009;506690,86;0;open;lowest price
SK00329380;SK31703470;0,5486589;Obec Mníšek nad Hnilcom;45215210-2;4;0;SK042;0;Mníšek nad Hnilcom - nájomný bytový dom - 15 b. j. nižší štandard;VK Stav, spol. s r. o., Spišská Nová Ves;slovakia;18-Jun-09;2009;490317,47;0;open;price plus quality
SK00320234;SK36014354;0,5485711;Obec Senohrad;45211000-9;2;0;SK032;0;Výstavba nájomného bytového domu - 11 b. j. v obci Senohrad;SimKor, s. r. o;slovakia;19-Jun-09;2009;483607,36;0;open;lowest price
SK00321125;SK36057088;0,5485108;Mesto Žiar nad Hronom;45000000-7;2;0;SK032;0;Prestavba nebytových priestorov na nájomné byty Ul. Tajovského 34;REMESLO stav, s.r.o;slovakia;9-Jan-09;2009;480503,43;0;open;lowest price
